iter	Passed	Remaining
725	116141	43513
726	116316	43358
727	116472	43197
728	116624	43034
729	116782	42873
730	116943	42713
731	117108	42555
732	117269	42396
733	117430	42236
734	117587	42075
735	117747	41915
736	117907	41755
737	118061	41593
738	118226	41435
739	118389	41276
740	118547	41115
741	118708	40955
742	118852	40790
743	119004	40627
744	119164	40467
745	119325	40308
746	119488	40149
747	119647	39989
748	119800	39826
749	119960	39666
750	120118	39506
751	120268	39343
752	120433	39184
753	120590	39023
754	120748	38863
755	120906	38702
756	121067	38543
757	121220	38381
758	121383	38222
759	121551	38064
760	121711	37905
761	121874	37745
762	122037	37586
763	122187	37424
764	122352	37265
765	122509	37104
766	122668	36944
767	122825	36783
768	122992	36625
769	123159	36468
770	123319	36308
771	123481	36148
772	123631	35985
773	123787	35824
774	123951	35666
775	124103	35503
776	124266	35344
777	124427	35185
778	124582	35023
779	124734	34861
780	124910	34706
781	125071	34546
782	125229	34386
783	125390	34226
784	125543	34064
785	125701	33904
786	125869	33746
787	126032	33587
788	126211	33432
789	126372	33272
790	126531	33112
791	126695	32953
792	126856	32793
793	127018	32634
794	127177	32474
795	127336	32314
796	127500	32155
797	127653	31993
798	127814	31833
799	127970	31672
800	128132	31513
801	128295	31353
802	128449	31192
803	128609	31032
804	128770	30872
805	128938	30714
806	129099	30555
807	129251	30393
808	129404	30231
809	129563	30071
810	129723	29911
811	129882	29751
812	130044	29591
813	130204	29431
814	130356	29270
815	130518	29110
816	130671	28949
817	130825	28787
818	130977	28626
819	131152	28469
820	131316	28310
821	131480	28151
822	131645	27992
823	131808	27833
824	131968	27673
825	132127	27513
826	132289	27353
827	132449	27193
828	132602	27032
829	132763	26872
830	132923	26712
831	133073	26550
832	133229	26390
833	133389	26229
834	133550	26070
835	133706	25909
836	133868	25750
837	134026	25589
838	134183	25429
839	134344	25269
840	134503	25109
841	134662	24949
842	134824	24789
843	134982	24629
844	135144	24469
845	135300	24309
846	135455	24148
847	135610	23987
848	135772	23828
849	135937	23669
850	136097	23509
851	136253	23348
852	136422	23190
853	136590	23031
854	136743	22870
855	136905	22710
856	137060	22550
857	137220	22390
858	137376	22229
859	137530	22068
860	137686	21908
861	137839	21747
862	137996	21586
863	138148	21425
864	138310	21266
865	138465	21105
866	138619	20944
867	138784	20785
868	138944	20625
869	139103	20465
870	139267	20306
871	139444	20149
872	139607	19989
873	139763	19829
874	139925	19669
875	140083	19509
876	140248	19350
877	140419	19191
878	140576	19031
879	140736	18871
880	140890	18710
881	141052	18551
882	141206	18390
883	141369	18230
884	141526	18070
885	141689	17911
886	141842	17750
887	142025	17593
888	142193	17434
889	142359	17275
890	142520	17115
891	142681	16955
892	142846	16796
893	143007	16636
894	143169	16476
895	143323	16315
896	143483	16155
897	143644	15996
898	143808	15836
899	143961	15675
900	144129	15516
901	144283	15356
902	144444	15196
903	144599	15035
904	144760	14875
905	144921	14716
906	145075	14555
907	145236	14395
908	145392	14235
909	145549	14075
910	145734	13917
911	145893	13757
912	146050	13597
913	146217	13437
914	146383	13278
915	146541	13118
916	146703	12958
917	146860	12798
918	147015	12637
919	147167	12477
920	147322	12316
921	147482	12156
922	147651	11997
923	147811	11837
924	147965	11677
925	148118	11516
926	148291	11357
927	148451	11197
928	148612	11037
929	148768	10877
930	148922	10717
931	149076	10556
932	149237	10397
933	149392	10236
934	149553	10076
935	149709	9916
936	149864	9756
937	150022	9596
938	150182	9436
939	150345	9276
940	150507	9116
941	150661	8956
942	150819	8796
943	150977	8636
944	151133	8476
945	151295	8316
946	151450	8156
947	151604	7996
948	151760	7835
949	151917	7675
950	152084	7516
951	152245	7356
952	152407	7196
953	152571	7036
954	152725	6876
955	152888	6716
956	153043	6556
957	153191	6396
958	153351	6236
959	153512	6076
960	153674	5916
961	153825	5756
962	153987	5596
963	154147	5436
964	154305	5276
965	154458	5116
966	154620	4956
967	154772	4796
968	154925	4636
969	155084	4476
970	155246	4316
971	155404	4156
972	155564	3997
973	155727	3837
974	155887	3677
975	156048	3517
976	156211	3357
977	156372	3197
978	156542	3038
979	156697	2878
980	156851	2718
981	157028	2558
982	157191	2398
983	157351	2238
984	157506	2078
985	157660	1918
986	157820	1758
987	157981	1599
988	158141	1439
989	158318	1279
990	158478	1119
991	158635	959
992	158799	799
993	158965	639
994	159118	479
995	159279	319
996	159437	159
997	159602	0
